0 1 2 3
0 1 2 4
0 1 2 5
0 1 2 6
0 1 2 7
0 1 2 8
0 1 2 9
0 1 2 10
0 1 2 11
0 1 2 12
0 1 2 13
0 1 2 14
0 1 2 15
0 1 2 16
0 1 2 17
0 1 2 18
0 1 2 19
0 1 2 20
0 1 2 21
0 1 2 22
0 1 2 23
0 1 2 24
0 1 2 25
0 1 2 26
0 1 2 27
0 1 2 28
0 1 2 29
0 1 2 30
0 1 2 31
0 1 2 32
0 1 2 33
0 1 2 34
0 1 2 35
0 1 2 36
0 1 2 37
0 1 2 38
0 1 2 39
0 1 2 40
0 1 2 41
0 1 2 42
0 1 2 43
0 1 2 44
0 1 2 45
0 1 2 46
0 1 2 47
0 1 2 48
0 1 2 49
0 1 2 50
0 1 2 51
0 1 2 52
0 1 2 53
0 1 2 54
0 1 2 55
0 1 2 56
0 1 2 57
0 1 2 58
0 1 2 59
0 1 2 60
0 1 2 61
0 1 2 62
0 1 2 63
0 1 3 4
0 1 3 5
0 1 3 6
0 1 3 7
0 1 3 8
0 1 3 9
0 1 3 10
0 1 3 11
0 1 3 12
0 1 3 13
0 1 3 14
0 1 3 15
0 1 3 16
0 1 3 17
0 1 3 18
0 1 3 19
0 1 3 20
0 1 3 21
0 1 3 22
0 1 3 23
0 1 3 24
0 1 3 25
0 1 3 26
0 1 3 27
0 1 3 28
0 1 3 29
0 1 3 30
0 1 3 31
0 1 3 32
0 1 3 33
0 1 3 34
0 1 3 35
0 1 3 36
0 1 3 37
0 1 3 38
0 1 3 39
0 1 3 40
0 1 3 41
0 1 3 42
0 1 3 43
0 1 3 44
0 1 3 45
0 1 3 46
0 1 3 47
0 1 3 48
0 1 3 49
0 1 3 50
0 1 3 51
0 1 3 52
0 1 3 53
0 1 3 54
0 1 3 55
0 1 3 56
0 1 3 57
0 1 3 58
0 1 3 59
0 1 3 60
0 1 3 61
0 1 3 62
0 1 3 63
0 1 4 5
0 1 4 6
0 1 4 7
0 1 4 8
0 1 4 9
0 1 4 10
0 1 4 11
0 1 4 12
0 1 4 13
0 1 4 14
0 1 4 15
0 1 5 6
0 1 5 7
0 1 5 8
0 1 5 9
0 1 5 10
0 1 5 11
0 1 5 12
0 1 5 13
0 1 5 14
0 1 5 15
0 1 6 7
0 1 6 8
0 1 6 9
0 1 6 10
0 1 6 11
0 1 6 12
0 1 6 13
0 1 6 14
0 1 6 15
0 1 7 8
0 1 7 9
0 1 7 10
0 1 7 11
0 1 7 12
0 1 7 13
0 1 7 14
0 1 7 15
0 1 8 9
0 1 8 10
0 1 8 11
0 1 8 12
0 1 8 13
0 1 8 14
0 1 8 15
0 1 9 10
0 1 9 11
0 1 9 12
0 1 9 13
0 1 9 14
0 1 9 15
0 1 10 11
0 1 10 12
0 1 10 13
0 1 10 14
0 1 10 15
0 1 11 12
0 1 11 13
0 1 11 14
0 1 11 15
0 1 12 13
0 1 12 14
0 1 12 15
0 1 13 14
0 1 13 15
0 1 14 15
0 1 16 17
0 1 16 18
0 1 16 19
0 1 16 32
0 1 16 33
0 1 16 34
0 1 16 35
0 1 16 48
0 1 16 49
0 1 16 50
0 1 16 51
0 1 17 18
0 1 17 19
0 1 17 32
0 1 17 33
0 1 17 34
0 1 17 35
0 1 17 48
0 1 17 49
0 1 17 50
0 1 17 51
0 1 18 19
0 1 18 32
0 1 18 33
0 1 18 34
0 1 18 35
0 1 18 48
0 1 18 49
0 1 18 50
0 1 18 51
0 1 19 32
0 1 19 33
0 1 19 34
0 1 19 35
0 1 19 48
0 1 19 49
0 1 19 50
0 1 19 51
0 1 20 21
0 1 20 22
0 1 20 23
0 1 20 40
0 1 20 41
0 1 20 42
0 1 20 43
0 1 20 60
0 1 20 61
0 1 20 62
0 1 20 63
0 1 21 22
0 1 21 23
0 1 21 40
0 1 21 41
0 1 21 42
0 1 21 43
0 1 21 60
0 1 21 61
0 1 21 62
0 1 21 63
0 1 22 23
0 1 22 40
0 1 22 41
0 1 22 42
0 1 22 43
0 1 22 60
0 1 22 61
0 1 22 62
0 1 22 63
0 1 23 40
0 1 23 41
0 1 23 42
0 1 23 43
0 1 23 60
0 1 23 61
0 1 23 62
0 1 23 63
0 1 24 25
0 1 24 26
0 1 24 27
0 1 24 44
0 1 24 45
0 1 24 46
0 1 24 47
0 1 24 52
0 1 24 53
0 1 24 54
0 1 24 55
0 1 25 26
0 1 25 27
0 1 25 44
0 1 25 45
0 1 25 46
0 1 25 47
0 1 25 52
0 1 25 53
0 1 25 54
0 1 25 55
0 1 26 27
0 1 26 44
0 1 26 45
0 1 26 46
0 1 26 47
0 1 26 52
0 1 26 53
0 1 26 54
0 1 26 55
0 1 27 44
0 1 27 45
0 1 27 46
0 1 27 47
0 1 27 52
0 1 27 53
0 1 27 54
0 1 27 55
0 1 28 29
0 1 28 30
0 1 28 31
0 1 28 36
0 1 28 37
0 1 28 38
0 1 28 39
0 1 28 56
0 1 28 57
0 1 28 58
0 1 28 59
0 1 29 30
0 1 29 31
0 1 29 36
0 1 29 37
0 1 29 38
0 1 29 39
0 1 29 56
0 1 29 57
0 1 29 58
0 1 29 59
0 1 30 31
0 1 30 36
0 1 30 37
0 1 30 38
0 1 30 39
0 1 30 56
0 1 30 57
0 1 30 58
0 1 30 59
0 1 31 36
0 1 31 37
0 1 31 38
0 1 31 39
0 1 31 56
0 1 31 57
0 1 31 58
0 1 31 59
0 1 32 33
0 1 32 34
0 1 32 35
0 1 32 48
0 1 32 49
0 1 32 50
0 1 32 51
0 1 33 34
0 1 33 35
0 1 33 48
0 1 33 49
0 1 33 50
0 1 33 51
0 1 34 35
0 1 34 48
0 1 34 49
0 1 34 50
0 1 34 51
0 1 35 48
0 1 35 49
0 1 35 50
0 1 35 51
0 1 36 37
0 1 36 38
0 1 36 39
0 1 36 56
0 1 36 57
0 1 36 58
0 1 36 59
0 1 37 38
0 1 37 39
0 1 37 56
0 1 37 57
0 1 37 58
0 1 37 59
0 1 38 39
0 1 38 56
0 1 38 57
0 1 38 58
0 1 38 59
0 1 39 56
0 1 39 57
0 1 39 58
0 1 39 59
0 1 40 41
0 1 40 42
0 1 40 43
0 1 40 60
0 1 40 61
