0 1 2
0 1 3
0 1 4
0 1 5
0 1 6
0 2 3
0 2 4
0 2 5
0 2 6
0 3 4
0 3 5
0 3 6
0 4 5
0 4 6
0 5 6
0 7 14
0 7 21
0 7 28
0 7 35
0 7 42
0 8 16
0 8 24
0 8 32
0 8 40
0 8 48
0 9 18
0 9 27
0 9 29
0 9 38
0 9 47
0 10 20
0 10 23
0 10 33
0 10 36
0 10 46
0 11 15
0 11 26
0 11 30
0 11 41
0 11 45
0 12 17
0 12 22
0 12 34
0 12 39
0 12 44
0 13 19
0 13 25
0 13 31
0 13 37
0 13 43
0 14 21
0 14 28
0 14 35
0 14 42
0 15 26
0 15 30
0 15 41
0 15 45
0 16 24
0 16 32
0 16 40
0 16 48
0 17 22
0 17 34
0 17 39
0 17 44
0 18 27
0 18 29
0 18 38
0 18 47
0 19 25
0 19 31
0 19 37
0 19 43
0 20 23
0 20 33
0 20 36
0 20 46
0 21 28
0 21 35
0 21 42
0 22 34
0 22 39
0 22 44
0 23 33
0 23 36
0 23 46
0 24 32
0 24 40
0 24 48
0 25 31
0 25 37
0 25 43
0 26 30
0 26 41
0 26 45
0 27 29
0 27 38
0 27 47
0 28 35
0 28 42
0 29 38
0 29 47
0 30 41
0 30 45
0 31 37
0 31 43
0 32 40
0 32 48
0 33 36
0 33 46
0 34 39
0 34 44
0 35 42
0 36 46
0 37 43
0 38 47
0 39 44
0 40 48
0 41 45
