0 1 2 3
0 1 2 4
0 1 2 5
0 1 2 6
0 1 2 7
0 1 2 8
0 1 2 9
0 1 2 10
0 1 2 11
0 1 2 12
0 1 2 13
0 1 2 14
0 1 2 15
0 1 2 16
0 1 2 17
0 1 2 18
0 1 2 19
0 1 2 20
0 1 2 21
0 1 2 22
0 1 2 23
0 1 2 24
0 1 2 25
0 1 2 26
0 1 3 4
0 1 3 5
0 1 3 6
0 1 3 7
0 1 3 8
0 1 4 5
0 1 4 6
0 1 4 7
0 1 4 8
0 1 5 6
0 1 5 7
0 1 5 8
0 1 6 7
0 1 6 8
0 1 7 8
0 1 9 10
0 1 9 11
0 1 9 18
0 1 9 19
0 1 9 20
0 1 10 11
0 1 10 18
0 1 10 19
0 1 10 20
0 1 11 18
0 1 11 19
0 1 11 20
0 1 12 13
0 1 12 14
0 1 12 24
0 1 12 25
0 1 12 26
0 1 13 14
0 1 13 24
0 1 13 25
0 1 13 26
0 1 14 24
0 1 14 25
0 1 14 26
0 1 15 16
0 1 15 17
0 1 15 21
0 1 15 22
0 1 15 23
0 1 16 17
0 1 16 21
0 1 16 22
0 1 16 23
0 1 17 21
0 1 17 22
0 1 17 23
0 1 18 19
0 1 18 20
0 1 19 20
0 1 21 22
0 1 21 23
0 1 22 23
0 1 24 25
0 1 24 26
0 1 25 26
0 2 3 4
0 2 3 5
0 2 3 6
0 2 3 7
0 2 3 8
0 2 4 5
0 2 4 6
0 2 4 7
0 2 4 8
0 2 5 6
0 2 5 7
0 2 5 8
0 2 6 7
0 2 6 8
0 2 7 8
0 2 9 10
0 2 9 11
0 2 9 18
0 2 9 19
0 2 9 20
0 2 10 11
0 2 10 18
0 2 10 19
0 2 10 20
0 2 11 18
0 2 11 19
0 2 11 20
0 2 12 13
0 2 12 14
0 2 12 24
0 2 12 25
0 2 12 26
0 2 13 14
0 2 13 24
0 2 13 25
0 2 13 26
0 2 14 24
0 2 14 25
0 2 14 26
0 2 15 16
0 2 15 17
0 2 15 21
0 2 15 22
0 2 15 23
0 2 16 17
0 2 16 21
0 2 16 22
0 2 16 23
0 2 17 21
0 2 17 22
0 2 17 23
0 2 18 19
0 2 18 20
0 2 19 20
0 2 21 22
0 2 21 23
0 2 22 23
0 2 24 25
0 2 24 26
0 2 25 26
0 3 4 5
0 3 4 6
0 3 4 7
0 3 4 8
0 3 5 6
0 3 5 7
0 3 5 8
0 3 6 7
0 3 6 8
0 3 6 9
0 3 6 10
0 3 6 11
0 3 6 12
0 3 6 13
0 3 6 14
0 3 6 15
0 3 6 16
0 3 6 17
0 3 6 18
0 3 6 19
0 3 6 20
0 3 6 21
0 3 6 22
0 3 6 23
0 3 6 24
0 3 6 25
0 3 6 26
0 3 7 8
0 3 9 12
0 3 9 15
0 3 9 18
0 3 9 21
0 3 9 24
0 3 10 13
0 3 10 16
0 3 10 20
0 3 10 23
0 3 10 26
0 3 11 14
0 3 11 17
0 3 11 19
0 3 11 22
0 3 11 25
0 3 12 15
0 3 12 18
0 3 12 21
0 3 12 24
0 3 13 16
0 3 13 20
0 3 13 23
0 3 13 26
0 3 14 17
0 3 14 19
0 3 14 22
0 3 14 25
0 3 15 18
0 3 15 21
0 3 15 24
0 3 16 20
0 3 16 23
0 3 16 26
0 3 17 19
0 3 17 22
0 3 17 25
0 3 18 21
0 3 18 24
0 3 19 22
0 3 19 25
0 3 20 23
0 3 20 26
0 3 21 24
0 3 22 25
0 3 23 26
0 4 5 6
0 4 5 7
0 4 5 8
0 4 6 7
0 4 6 8
0 4 7 8
0 4 8 9
0 4 8 10
0 4 8 11
0 4 8 12
0 4 8 13
0 4 8 14
0 4 8 15
0 4 8 16
0 4 8 17
0 4 8 18
0 4 8 19
0 4 8 20
0 4 8 21
0 4 8 22
0 4 8 23
0 4 8 24
0 4 8 25
0 4 8 26
0 4 9 13
0 4 9 17
0 4 9 18
0 4 9 22
0 4 9 26
0 4 10 14
0 4 10 15
0 4 10 20
0 4 10 21
0 4 10 25
0 4 11 12
0 4 11 16
0 4 11 19
0 4 11 23
0 4 11 24
0 4 12 16
0 4 12 19
0 4 12 23
0 4 12 24
0 4 13 17
0 4 13 18
0 4 13 22
0 4 13 26
0 4 14 15
0 4 14 20
0 4 14 21
0 4 14 25
0 4 15 20
0 4 15 21
0 4 15 25
0 4 16 19
0 4 16 23
0 4 16 24
0 4 17 18
0 4 17 22
0 4 17 26
0 4 18 22
0 4 18 26
0 4 19 23
0 4 19 24
0 4 20 21
0 4 20 25
0 4 21 25
0 4 22 26
0 4 23 24
0 5 6 7
0 5 6 8
0 5 7 8
0 5 7 9
0 5 7 10
0 5 7 11
0 5 7 12
0 5 7 13
0 5 7 14
0 5 7 15
0 5 7 16
0 5 7 17
0 5 7 18
0 5 7 19
0 5 7 20
0 5 7 21
0 5 7 22
0 5 7 23
0 5 7 24
0 5 7 25
0 5 7 26
0 5 9 14
0 5 9 16
0 5 9 18
0 5 9 23
0 5 9 25
0 5 10 12
0 5 10 17
0 5 10 20
0 5 10 22
0 5 10 24
0 5 11 13
0 5 11 15
0 5 11 19
0 5 11 21
0 5 11 26
0 5 12 17
0 5 12 20
0 5 12 22
0 5 12 24
0 5 13 15
0 5 13 19
0 5 13 21
0 5 13 26
0 5 14 16
0 5 14 18
0 5 14 23
0 5 14 25
0 5 15 19
0 5 15 21
0 5 15 26
0 5 16 18
0 5 16 23
0 5 16 25
0 5 17 20
0 5 17 22
0 5 17 24
0 5 18 23
0 5 18 25
0 5 19 21
0 5 19 26
0 5 20 22
0 5 20 24
0 5 21 26
0 5 22 24
0 5 23 25
0 6 7 8
0 6 9 12
0 6 9 15
0 6 9 18
0 6 9 21
0 6 9 24
0 6 10 13
0 6 10 16
0 6 10 20
0 6 10 23
0 6 10 26
0 6 11 14
0 6 11 17
0 6 11 19
0 6 11 22
0 6 11 25
0 6 12 15
0 6 12 18
0 6 12 21
0 6 12 24
0 6 13 16
0 6 13 20
0 6 13 23
0 6 13 26
0 6 14 17
0 6 14 19
0 6 14 22
0 6 14 25
0 6 15 18
0 6 15 21
0 6 15 24
0 6 16 20
0 6 16 23
0 6 16 26
0 6 17 19
0 6 17 22
